toolId	target	subject	category	educationLevels	expression	additionalBranches	symbolic	canonicalUnit	method	exactness	constraints	sourceRefs
chem-v4-molality	kg	Chemistry	Chemistry Expansion	GENERAL	n/b			kg	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
chem-v4-molality	n	Chemistry	Chemistry Expansion	GENERAL	b*kg			mol	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
chem-v4-osmotic-pressure	M	Chemistry	Chemistry Expansion	GENERAL	Pi/(8.314462618*T)			mol/m3	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-osmotic-pressure	Pi	Chemistry	Chemistry Expansion	GENERAL	M*8.314462618*T			Pa	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-osmotic-pressure	T	Chemistry	Chemistry Expansion	GENERAL	Pi/(M*8.314462618)			K	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-partial-pressure	Pi	Chemistry	Chemistry Expansion	GENERAL	xi*Ptotal			Pa	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-partial-pressure	Ptotal	Chemistry	Chemistry Expansion	GENERAL	Pi/xi			Pa	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-partial-pressure	xi	Chemistry	Chemistry Expansion	GENERAL	Pi/Ptotal				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-particles-moles	N	Chemistry	Chemistry Expansion	GENERAL	n*6.02214076e23				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-particles-moles	n	Chemistry	Chemistry Expansion	GENERAL	N/6.02214076e23			mol	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-percent-yield	actual	Chemistry	Chemistry Expansion	GENERAL	yield*theoretical/100				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
chem-v4-percent-yield	theoretical	Chemistry	Chemistry Expansion	GENERAL	actual*100/yield				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
chem-v4-percent-yield	yield	Chemistry	Chemistry Expansion	GENERAL	actual/theoretical*100			%	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
chem-v4-ph	H	Chemistry	Chemistry Expansion	GENERAL	10^(-pH)			mol/L	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
chem-v4-ph	pH	Chemistry	Chemistry Expansion	GENERAL	-log10(H)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
chem-v4-ph-poh	pH	Chemistry	Chemistry Expansion	GENERAL	14-pOH				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-ph-poh	pOH	Chemistry	Chemistry Expansion	GENERAL	14-pH				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-poh	OH	Chemistry	Chemistry Expansion	GENERAL	10^(-pOH)			mol/L	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chem-v4-poh	pOH	Chemistry	Chemistry Expansion	GENERAL	-log10(OH)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	OPENSTAX_CHEMISTRY_2E|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
chemistry-dilution	C1	Chemistry	Chemistry	GENERAL	C2*V2/V1			mol/L	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	C1 must be non-negative | V1 must be non-negative | C2 must be non-negative | V2 must be non-negative	BACKEND_1_1_VERIFIED_BASELINE
chemistry-dilution	C2	Chemistry	Chemistry	GENERAL	C1*V1/V2			mol/L	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	C1 must be non-negative | V1 must be non-negative | C2 must be non-negative | V2 must be non-negative	BACKEND_1_1_VERIFIED_BASELINE
chemistry-dilution	V1	Chemistry	Chemistry	GENERAL	C2*V2/C1			L	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	C1 must be non-negative | V1 must be non-negative | C2 must be non-negative | V2 must be non-negative	BACKEND_1_1_VERIFIED_BASELINE
chemistry-dilution	V2	Chemistry	Chemistry	GENERAL	C1*V1/C2			L	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	C1 must be non-negative | V1 must be non-negative | C2 must be non-negative | V2 must be non-negative	BACKEND_1_1_VERIFIED_BASELINE
chemistry-ideal-gas	P	Chemistry	Chemistry	GENERAL	n*8.314462618*T/V			Pa	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	P must be non-negative | V must be non-negative | n must be non-negative | T must be non-negative	BACKEND_1_1_VERIFIED_BASELINE
chemistry-ideal-gas	T	Chemistry	Chemistry	GENERAL	P*V/(n*8.314462618)			K	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	P must be non-negative | V must be non-negative | n must be non-negative | T must be non-negative	BACKEND_1_1_VERIFIED_BASELINE
chemistry-ideal-gas	V	Chemistry	Chemistry	GENERAL	n*8.314462618*T/P			m³	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	P must be non-negative | V must be non-negative | n must be non-negative | T must be non-negative	BACKEND_1_1_VERIFIED_BASELINE
chemistry-ideal-gas	n	Chemistry	Chemistry	GENERAL	P*V/(8.314462618*T)			mol	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	P must be non-negative | V must be non-negative | n must be non-negative | T must be non-negative	BACKEND_1_1_VERIFIED_BASELINE
chemistry-mass-moles	M	Chemistry	Chemistry	GENERAL	m/n			g/mol	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	n must be non-negative | m must be non-negative | M must be non-negative	BACKEND_1_1_VERIFIED_BASELINE
chemistry-mass-moles	m	Chemistry	Chemistry	GENERAL	n*M			g	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	n must be non-negative | m must be non-negative | M must be non-negative	BACKEND_1_1_VERIFIED_BASELINE
chemistry-mass-moles	n	Chemistry	Chemistry	GENERAL	m/M			mol	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	n must be non-negative | m must be non-negative | M must be non-negative	BACKEND_1_1_VERIFIED_BASELINE
chemistry-molarity	C	Chemistry	Chemistry	GENERAL	n/V			mol/L	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	C must be non-negative | n must be non-negative | V must be non-negative	BACKEND_1_1_VERIFIED_BASELINE
chemistry-molarity	V	Chemistry	Chemistry	GENERAL	n/C			L	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	C must be non-negative | n must be non-negative | V must be non-negative	BACKEND_1_1_VERIFIED_BASELINE
chemistry-molarity	n	Chemistry	Chemistry	GENERAL	C*V			mol	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	C must be non-negative | n must be non-negative | V must be non-negative	BACKEND_1_1_VERIFIED_BASELINE
chemistry-solution-density	V	Chemistry	Chemistry	GENERAL	m/rho			m³	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	rho must be non-negative | m must be non-negative | V must be non-negative	BACKEND_1_1_VERIFIED_BASELINE
chemistry-solution-density	m	Chemistry	Chemistry	GENERAL	rho*V			kg	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	rho must be non-negative | m must be non-negative | V must be non-negative	BACKEND_1_1_VERIFIED_BASELINE
chemistry-solution-density	rho	Chemistry	Chemistry	GENERAL	m/V			kg/m³	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	rho must be non-negative | m must be non-negative | V must be non-negative	BACKEND_1_1_VERIFIED_BASELINE
chemistry-stoichiometric-ratio	n1	Chemistry	Chemistry	GENERAL	n2*c1/c2			mol	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	n1 must be non-negative | c1 must be non-negative | c2 must be non-negative | n2 must be non-negative	BACKEND_1_1_VERIFIED_BASELINE
chemistry-stoichiometric-ratio	n2	Chemistry	Chemistry	GENERAL	n1*c2/c1			mol	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	n1 must be non-negative | c1 must be non-negative | c2 must be non-negative | n2 must be non-negative	BACKEND_1_1_VERIFIED_BASELINE
computer-v4-pixel-buffer	bpp	Computer	Computer Expansion	GENERAL	bytes*8/(width*height)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
computer-v4-pixel-buffer	bytes	Computer	Computer Expansion	GENERAL	width*height*bpp/8			byte	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
computer-v4-pixel-buffer	height	Computer	Computer Expansion	GENERAL	bytes*8/(width*bpp)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
computer-v4-pixel-buffer	width	Computer	Computer Expansion	GENERAL	bytes*8/(height*bpp)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
computer-v4-storage-overhead	overhead	Computer	Computer Expansion	GENERAL	total/payload-1				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
computer-v4-storage-overhead	payload	Computer	Computer Expansion	GENERAL	total/(1+overhead)			byte	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
computer-v4-storage-overhead	total	Computer	Computer Expansion	GENERAL	payload*(1+overhead)			byte	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
computer-v4-transfer-time	bps	Computer	Computer Expansion	GENERAL	bytes*8/time			bit/s	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
computer-v4-transfer-time	bytes	Computer	Computer Expansion	GENERAL	time*bps/8			byte	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
computer-v4-transfer-time	time	Computer	Computer Expansion	GENERAL	bytes*8/bps			s	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
date-v4-duration-hours	hours	Date & Time	Date / Time Expansion	GENERAL	seconds/3600			h	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
date-v4-duration-hours	seconds	Date & Time	Date / Time Expansion	GENERAL	hours*3600			s	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
date-v4-epoch-seconds	milliseconds	Date & Time	Date / Time Expansion	GENERAL	seconds*1000				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
date-v4-epoch-seconds	seconds	Date & Time	Date / Time Expansion	GENERAL	milliseconds/1000				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
discriminant	discriminant	Math	Algebra	GENERAL	b^2-4*a*c				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-compound-interest	A	Finance	Finance	GENERAL	P*(1+r/(100*n))^(n*t)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-compound-interest	P	Finance	Finance	GENERAL	A/(1+r/(100*n))^(n*t)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-discount	discount	Finance	Finance	GENERAL	(1-final/price)*100				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-discount	final	Finance	Finance	GENERAL	price*(1-discount/100)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-discount	price	Finance	Finance	GENERAL	final/(1-discount/100)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-margin	cost	Finance	Finance	GENERAL	revenue*(1-margin/100)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-margin	margin	Finance	Finance	GENERAL	(revenue-cost)/revenue*100				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-margin	revenue	Finance	Finance	GENERAL	cost/(1-margin/100)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-markup	cost	Finance	Finance	GENERAL	price/(1+markup/100)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-markup	markup	Finance	Finance	GENERAL	(price/cost-1)*100				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-markup	price	Finance	Finance	GENERAL	cost*(1+markup/100)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-percentage-change	change	Finance	Finance	GENERAL	(new-old)/old*100				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-percentage-change	new	Finance	Finance	GENERAL	old*(1+change/100)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-percentage-change	old	Finance	Finance	GENERAL	new/(1+change/100)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-simple-interest	A	Finance	Finance	GENERAL	P*(1+r*t/100)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-simple-interest	P	Finance	Finance	GENERAL	A/(1+r*t/100)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-simple-interest	r	Finance	Finance	GENERAL	(A/P-1)*100/t				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-simple-interest	t	Finance	Finance	GENERAL	(A/P-1)*100/r				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-tax	rate	Finance	Finance	GENERAL	(total/subtotal-1)*100				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-tax	subtotal	Finance	Finance	GENERAL	total/(1+rate/100)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-tax	total	Finance	Finance	GENERAL	subtotal*(1+rate/100)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-tip	bill	Finance	Finance	GENERAL	total/(1+tip/100)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-tip	tip	Finance	Finance	GENERAL	(total/bill-1)*100				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-tip	total	Finance	Finance	GENERAL	bill*(1+tip/100)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED		BACKEND_1_1_VERIFIED_BASELINE
finance-v4-break-even	fixed	Finance	Finance Expansion	GENERAL	q*(price-variable)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	V4_DETERMINISTIC_FINANCE_DOMAIN_MAP|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
finance-v4-break-even	price	Finance	Finance Expansion	GENERAL	variable+fixed/q				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	V4_DETERMINISTIC_FINANCE_DOMAIN_MAP|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
finance-v4-break-even	q	Finance	Finance Expansion	GENERAL	fixed/(price-variable)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	V4_DETERMINISTIC_FINANCE_DOMAIN_MAP|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
finance-v4-break-even	variable	Finance	Finance Expansion	GENERAL	price-fixed/q				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	V4_DETERMINISTIC_FINANCE_DOMAIN_MAP|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
finance-v4-cagr	CAGR	Finance	Finance Expansion	GENERAL	(end/start)^(1/years)-1				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
finance-v4-cagr	end	Finance	Finance Expansion	GENERAL	start*(1+CAGR)^years				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
finance-v4-cagr	start	Finance	Finance Expansion	GENERAL	end/(1+CAGR)^years				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	All declared domain constraints are enforced; required values may not be guessed.	V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION
finance-v4-continuous-compounding	A	Finance	Finance Expansion	GENERAL	P*exp(r*t)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	V4_DETERMINISTIC_FINANCE_DOMAIN_MAP|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
finance-v4-continuous-compounding	P	Finance	Finance Expansion	GENERAL	A/exp(r*t)				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	V4_DETERMINISTIC_FINANCE_DOMAIN_MAP|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
finance-v4-continuous-compounding	r	Finance	Finance Expansion	GENERAL	ln(A/P)/t				CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	Declared domain constraints are enforced; missing values are never guessed.	V4_DETERMINISTIC_FINANCE_DOMAIN_MAP|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION
